2021-08-27 20:52:00	comb	321.07	28	15128
2021-08-27 21:02:00	comb	319.64	56	15184
2021-08-27 21:06:00	comb	319.7	43	15227
2021-08-27 21:16:00	comb	319.53	48	15275
2021-08-27 21:44:00	comb	321.34	55	15330
2021-08-30 15:20:00	comb	320.7	147	147
2021-08-30 15:26:00	comb	320.73	66	213
2021-08-30 15:28:00	comb	320.68	63	276
2021-08-30 15:30:00	comb	320.44	112	388
2021-08-30 15:32:00	comb	322.01	120	508
2021-08-30 15:34:00	comb	321.77	59	567
2021-08-30 15:36:00	comb	320.4	83	650
2021-08-30 15:38:00	comb	321.42	69	719
2021-08-30 15:40:00	comb	321.16	54	773
2021-08-30 15:48:00	comb	320.9	53	826
2021-08-30 15:50:00	comb	320.77	65	891
2021-08-30 15:52:00	comb	320.59	89	980
2021-08-30 15:54:00	comb	320.79	52	1032
2021-08-30 15:56:00	comb	320.58	64	1096
2021-08-30 16:00:00	comb	318.86	156	1252
2021-08-30 16:06:00	comb	319.87	87	1339
2021-08-30 16:08:00	comb	318.69	79	1418
2021-08-30 16:10:00	comb	318.76	93	1511
2021-08-30 16:12:00	comb	319.03	54	1565
2021-08-30 16:14:00	comb	319.34	62	1627
2021-08-30 16:16:00	comb	319.4	97	1724
2021-08-30 16:18:00	comb	319.48	86	1810
2021-08-30 16:20:00	comb	319.58	50	1860
2021-08-30 16:22:00	comb	319.27	82	1942
2021-08-30 16:24:00	comb	319.17	75	2017
2021-08-30 16:30:00	comb	319.5	143	2160
2021-08-30 16:32:00	comb	319.23	94	2254
2021-08-30 16:34:00	comb	319.99	156	2410
2021-08-30 16:44:00	comb	320.74	112	2522
2021-08-30 16:46:00	comb	320.71	180	2702
2021-08-30 16:48:00	comb	320.75	148	2850
2021-08-30 16:50:00	comb	319.81	127	2977
2021-08-30 16:52:00	comb	319.54	105	3082
2021-08-30 16:54:00	comb	319.55	155	3237
2021-08-30 16:56:00	comb	319.78	130	3367
2021-08-30 16:58:00	comb	319.45	151	3518
2021-08-30 17:00:00	comb	321.06	171	3689
2021-08-30 17:02:00	comb	321.4	169	3858
2021-08-30 17:04:00	comb	321.89	138	3996
2021-08-30 17:06:00	comb	321.57	153	4149
2021-08-30 17:08:00	comb	321.25	105	4254
2021-08-30 17:12:00	comb	320.98	130	4384
2021-08-30 17:14:00	comb	320.86	117	4501
2021-08-30 17:16:00	comb	320.61	102	4603
2021-08-30 17:18:00	comb	318.96	108	4711
2021-08-30 17:20:00	comb	319.06	121	4832
2021-08-30 17:24:00	comb	318.94	117	4949
2021-08-30 17:26:00	comb	319.11	81	5030
2021-08-30 17:28:00	comb	318.95	67	5097
2021-08-30 17:30:00	comb	318.28	128	5225
2021-08-30 17:40:00	comb	319.47	135	5360
2021-08-30 17:46:00	comb	319.93	100	5460
2021-08-30 17:48:00	comb	320.12	68	5528
2021-08-30 17:50:00	comb	320.43	116	5644
2021-08-30 17:52:00	comb	321.21	97	5741
2021-08-30 17:54:00	comb	320.69	86	5827
2021-08-30 17:56:00	comb	319.44	107	5934
2021-08-30 17:58:00	comb	320.92	100	6034
2021-08-30 18:00:00	comb	320.5	120	6154
2021-08-30 18:02:00	comb	320.53	78	6232
2021-08-30 18:04:00	comb	320.35	74	6306
2021-08-30 18:10:00	comb	320.81	63	6369
2021-08-30 18:12:00	comb	320.67	79	6448
2021-08-30 18:14:00	comb	320.71	87	6535
2021-08-30 18:22:00	comb	320.63	54	6589
2021-08-30 18:32:00	comb	320.01	96	6685
2021-08-30 18:34:00	comb	319.84	80	6765
2021-08-30 18:36:00	comb	319.78	92	6857
2021-08-30 18:38:00	comb	320.06	101	6958
2021-08-30 18:40:00	comb	319.78	69	7027
2021-08-30 18:42:00	comb	319.29	50	7077
2021-08-30 18:48:00	comb	319.65	48	7125
2021-08-30 18:50:00	comb	319.7	74	7199
2021-08-30 18:52:00	comb	319.57	60	7259
2021-08-30 19:10:00	comb	319.81	36	7295
2021-08-30 19:30:00	comb	319.64	30	7325
2021-08-30 19:34:00	comb	319.61	18	7343
2021-08-30 20:14:00	comb	319.89	13	7356
2021-08-31 15:20:00	comb	323.85	98	98
2021-08-31 15:22:00	comb	323.76	126	224
2021-08-31 15:24:00	comb	323.84	137	361
2021-08-31 15:26:00	comb	323.48	122	483
2021-08-31 15:36:00	comb	323.41	135	618
2021-08-31 15:40:00	comb	323.17	117	735
2021-08-31 15:42:00	comb	322.8	129	864
2021-08-31 15:46:00	comb	322.65	98	962
2021-08-31 15:54:00	comb	322.54	103	1065
2021-08-31 15:56:00	comb	322.63	91	1156
2021-08-31 15:58:00	comb	322.08	146	1302
2021-08-31 16:00:00	comb	322.39	175	1477
2021-08-31 16:02:00	comb	321.43	158	1635
2021-08-31 16:40:00	comb	323.37	156	1791
2021-08-31 16:42:00	comb	324.9	157	1948
2021-08-31 16:44:00	comb	324.6	183	2131
