,time,open,high,low,close,tick_volume,spread,real_volume
0,2020-01-02 01:00:00,1517.97,1521.37,1517.95,1518.41,3598,2,0
1,2020-01-02 02:00:00,1518.45,1519.37,1518.14,1518.69,2404,2,0
2,2020-01-02 03:00:00,1518.69,1520.91,1517.23,1519.44,6110,2,0
3,2020-01-02 04:00:00,1519.44,1520.95,1518.44,1520.63,3475,2,0
4,2020-01-02 05:00:00,1520.63,1521.21,1519.86,1520.37,1345,2,0
5,2020-01-02 06:00:00,1520.37,1520.45,1519.48,1519.48,1194,4,0
6,2020-01-02 07:00:00,1519.45,1520.41,1519.04,1520.3,2792,2,0
7,2020-01-02 08:00:00,1520.3,1521.02,1519.31,1521.02,3843,2,0
8,2020-01-02 09:00:00,1521.01,1521.45,1519.14,1519.21,5028,2,0
9,2020-01-02 10:00:00,1519.21,1521.04,1518.49,1520.82,6746,2,0
10,2020-01-02 11:00:00,1520.82,1521.41,1519.62,1520.72,4441,2,0
11,2020-01-02 12:00:00,1520.73,1521.42,1519.72,1521.27,4098,2,0
12,2020-01-02 13:00:00,1521.27,1522.49,1521.22,1522.03,4276,2,0
13,2020-01-02 14:00:00,1522.03,1523.68,1521.62,1523.14,4022,2,0
14,2020-01-02 15:00:00,1523.14,1529.06,1522.74,1528.07,10653,2,0
15,2020-01-02 16:00:00,1528.09,1530.59,1525.66,1526.37,14260,2,0
16,2020-01-02 17:00:00,1526.37,1531.39,1525.93,1529.2,10885,2,0
17,2020-01-02 18:00:00,1529.22,1529.29,1525.3,1525.56,6910,2,0
18,2020-01-02 19:00:00,1525.6,1526.1,1522.85,1525.29,5664,2,0
19,2020-01-02 20:00:00,1525.28,1526.58,1524.94,1526.38,4643,2,0
20,2020-01-02 21:00:00,1526.37,1526.97,1525.6,1526.8,4542,2,0
21,2020-01-02 22:00:00,1526.77,1528.61,1526.52,1528.37,5232,2,0
22,2020-01-02 23:00:00,1528.37,1528.98,1527.96,1528.81,1690,2,0
23,2020-01-03 01:00:00,1528.55,1528.93,1527.98,1528.8,1843,2,0
24,2020-01-03 02:00:00,1528.8,1530.67,1528.8,1530.58,2954,2,0
25,2020-01-03 03:00:00,1530.58,1535.8,1529.96,1534.99,7752,2,0
26,2020-01-03 04:00:00,1534.98,1541.1,1532.67,1538.37,14363,2,0
27,2020-01-03 05:00:00,1538.37,1540.6,1537.81,1538.64,8902,2,0
28,2020-01-03 06:00:00,1538.61,1539.69,1537.47,1538.82,4715,2,0
29,2020-01-03 07:00:00,1538.8,1543.89,1538.29,1541.42,7771,2,0
30,2020-01-03 08:00:00,1541.42,1542.63,1541.04,1541.28,4154,2,0
31,2020-01-03 09:00:00,1541.28,1543.97,1540.17,1543.49,7658,2,0
32,2020-01-03 10:00:00,1543.51,1545.36,1542.97,1544.32,8056,2,0
33,2020-01-03 11:00:00,1544.32,1550.4,1544.2,1546.84,7736,2,0
34,2020-01-03 12:00:00,1546.9,1549.65,1545.38,1548.55,8672,2,0
35,2020-01-03 13:00:00,1548.58,1551.52,1547.94,1549.48,6742,2,0
36,2020-01-03 14:00:00,1549.56,1550.05,1545.39,1546.44,7831,2,0
37,2020-01-03 15:00:00,1546.43,1547.41,1540.96,1546.32,10275,2,0
38,2020-01-03 16:00:00,1546.36,1548.13,1544.15,1546.04,15693,2,0
