,Open,High,Low,Close,Adj Close,Volume
2019-12-31 11:00:00-05:00,96.45099639892578,96.50399780273438,96.35800170898438,96.39900207519531,96.39900207519531,0
2019-12-31 12:00:00-05:00,96.4000015258789,96.43099975585938,96.38600158691406,96.38899993896484,96.38899993896484,0
2019-12-31 13:00:00-05:00,96.38800048828125,96.43900299072266,96.38600158691406,96.43900299072266,96.43900299072266,0
2019-12-31 14:00:00-05:00,96.44000244140625,96.49600219726562,96.43299865722656,96.48999786376953,96.48999786376953,0
2019-12-31 15:00:00-05:00,96.48999786376953,96.51100158691406,96.48300170898438,96.48400115966797,96.48400115966797,0
2019-12-31 16:00:00-05:00,96.48500061035156,96.51300048828125,96.48300170898438,96.50399780273438,96.50399780273438,0
2019-12-31 17:00:00-05:00,96.50599670410156,96.51699829101562,96.48999786376953,96.50900268554688,96.50900268554688,0
2019-12-31 18:00:00-05:00,96.47899627685547,96.53399658203125,96.47899627685547,96.52899932861328,96.52899932861328,0
2019-12-31 19:00:00-05:00,96.5,96.5,96.5,96.5,96.5,0
2019-12-31 20:00:00-05:00,96.50199890136719,96.9749984741211,96.4800033569336,96.91300201416016,96.91300201416016,0
2019-12-31 21:00:00-05:00,97.00499725341797,97.10099792480469,97.00499725341797,97.06099700927734,97.06099700927734,0
2019-12-31 22:00:00-05:00,97.00599670410156,97.10299682617188,97.00599670410156,97.06099700927734,97.06099700927734,0
2019-12-31 23:00:00-05:00,97.06099700927734,97.10299682617188,97.00599670410156,97.09300231933594,97.09300231933594,0
2020-01-02 00:00:00-05:00,96.61699676513672,96.62699890136719,96.60199737548828,96.60199737548828,96.60199737548828,0
2020-01-02 01:00:00-05:00,96.60099792480469,96.60399627685547,96.5719985961914,96.5739974975586,96.5739974975586,0
2020-01-02 02:00:00-05:00,96.5739974975586,96.59200286865234,96.55000305175781,96.55599975585938,96.55599975585938,0
2020-01-02 03:00:00-05:00,96.55500030517578,96.5790023803711,96.52300262451172,96.52799987792969,96.52799987792969,0
2020-01-02 04:00:00-05:00,96.52899932861328,96.61799621582031,96.51799774169922,96.61000061035156,96.61000061035156,0
2020-01-02 05:00:00-05:00,96.61000061035156,96.6760025024414,96.6050033569336,96.63899993896484,96.63899993896484,0
2020-01-02 06:00:00-05:00,96.63999938964844,96.73200225830078,96.62100219726562,96.72699737548828,96.72699737548828,0
2020-01-02 07:00:00-05:00,96.72699737548828,96.74299621582031,96.66799926757812,96.67900085449219,96.67900085449219,0
2020-01-02 08:00:00-05:00,96.68000030517578,96.70099639892578,96.6500015258789,96.66000366210938,96.66000366210938,0
2020-01-02 09:00:00-05:00,96.66000366210938,96.83399963378906,96.65899658203125,96.81300354003906,96.81300354003906,0
2020-01-02 10:00:00-05:00,96.81099700927734,96.8219985961914,96.56300354003906,96.56300354003906,96.56300354003906,0
2020-01-02 11:00:00-05:00,96.56400299072266,96.8489990234375,96.55400085449219,96.84300231933594,96.84300231933594,0
2020-01-02 12:00:00-05:00,96.84300231933594,96.87300109863281,96.8219985961914,96.83699798583984,96.83699798583984,0
2020-01-02 13:00:00-05:00,96.83599853515625,96.87000274658203,96.80799865722656,96.81600189208984,96.81600189208984,0
2020-01-02 14:00:00-05:00,96.81700134277344,96.85900115966797,96.81400299072266,96.84600067138672,96.84600067138672,0
2020-01-02 15:00:00-05:00,96.84600067138672,96.85199737548828,96.7979965209961,96.822998046875,96.822998046875,0
2020-01-02 16:00:00-05:00,96.8219985961914,96.82599639892578,96.79399871826172,96.80500030517578,96.80500030517578,0
